company,assessment_date,institution_type,pcaf_signatory,pcaf_part,criterion,score,max_score,percentage,verification_status,extraction_result,evidence,priority,gap_description,assessor_notes
Admiral Group,2024-12-31,Insurance,Signatory,Part A,Asset Class Coverage,1,5,20.0,[VERIFIED],,3.0/18 = 16.7%. Only corporate bonds (partial S1&S2). L285-302.,—,—,V2 client-verified
Admiral Group,2024-12-31,Insurance,Signatory,Part A,Data Quality Score,0,5,0.0,[VERIFIED],[NOT FOUND],No PCAF DQS in sustainability report.,—,—,V2 client-verified
Admiral Group,2024-12-31,Insurance,Signatory,Part A,Attribution Methodology,2,5,40.0,[VERIFIED],,"PCAF mentioned once (L253, for IAE). WACI + SBTi for investments.",—,—,V2 client-verified
Admiral Group,2024-12-31,Insurance,Signatory,Part A,Portfolio Coverage,0,5,0.0,[VERIFIED],[NOT FOUND],No coverage rate disclosed.,—,—,V2 client-verified
Admiral Group,2024-12-31,Insurance,Signatory,Part A,Temporal Coverage,3,3,100.0,[VERIFIED],,4 years (2021-2024) + 2025/2030/2040 targets. L271+L285.,—,—,V2 client-verified
Admiral Group,2024-12-31,Insurance,Signatory,Part B,Asset Class Coverage,N/A,N/A,,[N/A],,"N/A — insurer, not bank.",N/A,N/A,V2 client-verified – N/A
Admiral Group,2024-12-31,Insurance,Signatory,Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Admiral Group,2024-12-31,Insurance,Signatory,Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Admiral Group,2024-12-31,Insurance,Signatory,Part C,Asset Class Coverage,2,5,40.0,[VERIFIED],"[INCOMPLETE — detailed data in Net Zero Transition Plan, not available.]",Motor IAE measured (L254).,—,—,V2 client-verified
Admiral Group,2024-12-31,Insurance,Signatory,Part C,Attribution Methodology,2,5,40.0,[VERIFIED],[INCOMPLETE — need NZTP for details.],PCAF standards referenced for IAE (L253).,—,—,V2 client-verified
Admiral Group,2024-12-31,Insurance,Signatory,Part C,Temporal Coverage,1,3,33.3,[VERIFIED],[INCOMPLETE — need NZTP.],First IAE measurement in 2024.,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part A,Asset Class Coverage,1,5,20.0,[CLIENT-VERIFIED],,"6.5/18 coefficient coverage (36.1%) – listed equity (6/6) + partial sovereign debt (0.5/2); other asset classes excluded (insurer profile, justification provided)",—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part A,Data Quality Score,3,5,60.0,[CLIENT-VERIFIED],,"Average DQS ~2.12 for listed equities, ~2 for sovereign debt",—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part A,Attribution Methodology,3,5,60.0,[CLIENT-VERIFIED],,PCAF methodology applied for covered asset classes,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part A,Portfolio Coverage,3,5,60.0,[CLIENT-VERIFIED],,~71% portfolio coverage,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part A,Temporal Coverage,1,3,33.3,[CLIENT-VERIFIED],,Current year only,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part B,Asset Class Coverage,0,5,0.0,[CLIENT-VERIFIED],,No facilitated emissions (capital markets activity) reported,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part B,Attribution Methodology,0,5,0.0,[CLIENT-VERIFIED],,No facilitated emissions attribution,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part B,Temporal Coverage,0,3,0.0,[CLIENT-VERIFIED],,No facilitated emissions data,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part C,Asset Class Coverage,4,5,80.0,[CLIENT-VERIFIED],,6/8 coefficient coverage (75%) – Commercial Lines (3/3) + Personal Motor (3/3); reinsurance branches not covered,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part C,Attribution Methodology,3,5,60.0,[CLIENT-VERIFIED],,PCAF methodology used for commercial lines and personal motor,—,—,V2 client-verified
Ageas,2024-12-31,Insurance,Signatory,Part C,Temporal Coverage,0,3,0.0,[CLIENT-VERIFIED],,No historical time series for insurance-associated emissions,—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Signatory,Part A,Asset Class Coverage,3,5,60.0,[UNVERIFIED],,"12.5/18 = 69.4%. Asset classes found: ['listed_equity_bonds', 'business_loans', 'commercial_re', 'mortgages', 'sovereign_debt'].",—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Signatory,Part A,Data Quality Score,4,5,80.0,[UNVERIFIED],"[FOUND — HUMAN VERIFICATION REQUIRED: DQS values extracted by regex, need context check]",DQS value: 2.2.,—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Signatory,Part A,Attribution Methodology,3,5,60.0,[UNVERIFIED],,"PCAF mentioned (L57), methods applied per asset class.",—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Signatory,Part A,Portfolio Coverage,0,5,0.0,[UNVERIFIED],[NOT FOUND],No portfolio coverage percentage identified.,—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Signatory,Part A,Temporal Coverage,3,3,100.0,[UNVERIFIED],,"Years: [2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]. Targets: True.",—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Signatory,Part B,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not a bank/bancassurance.,N/A,N/A,V2 client-verified – N/A
Allianz,2024-12-31,Insurance,Signatory,Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Allianz,2024-12-31,Insurance,Signatory,Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Allianz,2024-12-31,Insurance,Signatory,Part C,Asset Class Coverage,2,5,40.0,[UNVERIFIED],,IAE mentioned at L48.,—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Signatory,Part C,Attribution Methodology,2,5,40.0,[UNVERIFIED],,Methodology details require human verification.,—,—,V2 client-verified
Allianz,2024-12-31,Insurance,Signatory,Part C,Temporal Coverage,1,3,33.3,[UNVERIFIED],,Temporal extent requires human verification.,—,—,V2 client-verified
Amundi,2024-12-31,Asset Manager,Non-signatory,Part A,Asset Class Coverage,0,5,0.0,[UNVERIFIED],,0/18 = 0.0%. Asset classes found: [].,—,—,V2 client-verified
Amundi,2024-12-31,Asset Manager,Non-signatory,Part A,Data Quality Score,0,5,0.0,[UNVERIFIED],[NOT FOUND],DQS value: None.,—,—,V2 client-verified
Amundi,2024-12-31,Asset Manager,Non-signatory,Part A,Attribution Methodology,0,5,0.0,[UNVERIFIED],[NOT FOUND],PCAF not mentioned.,—,—,V2 client-verified
Amundi,2024-12-31,Asset Manager,Non-signatory,Part A,Portfolio Coverage,0,5,0.0,[UNVERIFIED],[NOT FOUND],No portfolio coverage percentage identified.,—,—,V2 client-verified
Amundi,2024-12-31,Asset Manager,Non-signatory,Part A,Temporal Coverage,3,3,100.0,[UNVERIFIED],,"Years: [2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]. Targets: True.",—,—,V2 client-verified
Amundi,2024-12-31,Asset Manager,Non-signatory,Part B,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not a bank/bancassurance.,N/A,N/A,V2 client-verified – N/A
Amundi,2024-12-31,Asset Manager,Non-signatory,Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Amundi,2024-12-31,Asset Manager,Non-signatory,Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Amundi,2024-12-31,Asset Manager,Non-signatory,Part C,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not an insurer/reinsurer.,N/A,N/A,V2 client-verified – N/A
Amundi,2024-12-31,Asset Manager,Non-signatory,Part C,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Amundi,2024-12-31,Asset Manager,Non-signatory,Part C,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Asset Class Coverage,1,5,20.0,[UNVERIFIED],,"5.5/18 = 30.6%. Asset classes found: ['listed_equity_bonds', 'mortgages', 'sovereign_debt'].",—,—,V2 client-verified
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Data Quality Score,5,5,100.0,[UNVERIFIED],"[FOUND — HUMAN VERIFICATION REQUIRED: DQS values extracted by regex, need context check]",DQS value: 1.0.,—,—,V2 client-verified
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Attribution Methodology,2,5,40.0,[UNVERIFIED],,"PCAF mentioned (L6872), partial coverage.",—,—,V2 client-verified
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Portfolio Coverage,0,5,0.0,[UNVERIFIED],[NOT FOUND],No portfolio coverage percentage identified.,—,—,V2 client-verified
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Temporal Coverage,2,3,66.7,[UNVERIFIED],,"Years: [2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]. Targets: False.",—,—,V2 client-verified
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part B,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not a bank/bancassurance.,N/A,N/A,V2 client-verified – N/A
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part C,Asset Class Coverage,2,5,40.0,[UNVERIFIED],,IAE mentioned at L7474.,—,—,V2 client-verified
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part C,Attribution Methodology,2,5,40.0,[UNVERIFIED],,Methodology details require human verification.,—,—,V2 client-verified
ASR Nederland,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part C,Temporal Coverage,1,3,33.3,[UNVERIFIED],,Temporal extent requires human verification.,—,—,V2 client-verified
Aviva,2024-12-31,Insurance,Signatory,Part A,Asset Class Coverage,1,5,20.0,[VERIFIED],,"6.0/18 = 33.3%. Credit & equities S1&S2 (datasheet 3.4 R7, £147.8bn, 6.7M tCO2e). Infrastructure debt S1&S2 (3.4 R8, £9.0bn). Direct real estate S1+S2+S3 (3.4 R9, £6.2bn, Deepki/CRREM). CRE mortgages S1&S2 (3.4 R10, £6.3bn). Equity release mortgages S1&S2 (3.4 R11, £10.4bn). Sovereign S1 production (3.5 R21, 8.1M tCO2e, PRIMAP-hist). S3 of investees NOT included (L2053: 'We do not include investments' Scope 3 emissions'). Business loans/unlisted equity: not covered. Motor vehicle: not covered.",—,—,V2 client-verified
Aviva,2024-12-31,Insurance,Signatory,Part A,Data Quality Score,3,5,60.0,[VERIFIED],,"Total PCAF DQS = 2.5 (2024), 2.4 (2023). Per asset class: Credit & equities 2.2, Infrastructure debt 3.6, Direct real estate 3.8, CRE mortgages 3.2, Equity release 4.3, Sovereign 2.3. Score 3: DQS 2.5 falls in 2.5-3.5 range. Note: auto-scan found 2.3 which is sovereign DQS only, not the total.",—,—,V2 client-verified
Aviva,2024-12-31,Insurance,Signatory,Part A,Attribution Methodology,4,5,80.0,[VERIFIED],,PCAF Member and standing member of Climate Data Working Group. Participating in 5 PCAF working groups in 2024. Verbatim: 'We are a PCAF Member and standing member of the Climate Data Working Group'. PCAF signatory. Uses PCAF methodology across all covered asset classes with Carbon Trust support for infra/CRE (L3589). Part A status: reported. Score 4.,—,—,V2 client-verified
Aviva,2024-12-31,Insurance,Signatory,Part A,Portfolio Coverage,3,5,60.0,[VERIFIED],,"72% AUM coverage of balance sheet assets (datasheet 3.6 R14: £225.4bn / £313.0bn). 57% of total AUM including third-party (3.6 R15). 95% emissions data coverage within included asset classes (L2023). The 23% at L2147 refers to the percentage of credit & equities portfolio from top 4 sectors by emissions, NOT portfolio coverage. Score 3 (60-80%).",—,—,V2 client-verified
