company,assessment_date,institution_type,pcaf_part,criterion,score,max_score,percentage,evidence,priority,gap_description,assessor_notes
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part A,Asset Class Coverage,0,5,0.0,[Evidence for score],[Critical/High/Medium/Low],[Description of gaps],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part A,Data Quality Score,0,5,0.0,[Evidence for score],[Critical/High/Medium/Low],[Description of gaps],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part A,Attribution Methodology,0,5,0.0,[Evidence for score],[Critical/High/Medium/Low],[Description of gaps],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part A,Scope Coverage,0,5,0.0,[Evidence for score],[Critical/High/Medium/Low],[Description of gaps],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part A,Portfolio Coverage,0,5,0.0,[Evidence for score],[Critical/High/Medium/Low],[Description of gaps],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part A,Sovereign Debt Inclusion,0,5,0.0,[Evidence for score],[Critical/High/Medium/Low],[Description of gaps],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part A,Temporal Coverage,0,5,0.0,[Evidence for score],[Critical/High/Medium/Low],[Description of gaps],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part A,Intensity Metrics,0,5,0.0,[Evidence for score],[Critical/High/Medium/Low],[Description of gaps],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part B,Capital Markets Activity,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part B,Emission Attribution,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part C,Insurance Lines Coverage,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part C,Commercial Lines,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part C,Motor Insurance,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part C,Project Insurance,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part C,Treaty Reinsurance,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part C,Attribution Methodology,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part C,Underwriting Integration,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
[Company Name],YYYY-MM-DD,[Insurance/Bank/Asset Manager],Part C,Data Quality,0,5,0.0,[Evidence for score or N/A],[Critical/High/Medium/Low/N/A],[Description of gaps or N/A],[Additional notes]
