company,assessment_date,institution_type,pcaf_part,criterion,score,max_score,percentage,evidence,priority,gap_description,assessor_notes
Admiral Group,2024-12-31,Insurance,Part A,Asset Class Coverage,1,5,20.0,6.5/18 coefficient coverage (36.1%),Critical,Extend coverage to remaining asset classes and S3 scopes,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part A,Data Quality Score,0,5,0.0,No PCAF data quality score reported,High,Implement and disclose PCAF DQS,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part A,Attribution Methodology,2,5,40.0,PCAF-referenced methodology,High,Incomplete,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part A,Portfolio Coverage,1,5,20.0,Coverage not disclosed – estimated <40%,Medium,Disclose exact portfolio coverage %,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part A,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to 3 years + projections for full score,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part B,Asset Class Coverage,0,5,0.0,N/A – not a bank/bancassurance,N/A,Not applicable,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part B,Attribution Methodology,0,5,0.0,N/A – not applicable,N/A,Not applicable,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part B,Temporal Coverage,0,3,0.0,N/A – not applicable,N/A,Not applicable,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part C,Asset Class Coverage,4,5,80.0,"5.75/8 branch coefficient (72%) – Comm.Lines 2/5, Motor 3/5, Re 1/5",Low,Extend to all 4 insurance branches,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part C,Attribution Methodology,2,5,40.0,ITV allocation applied,Medium,Full PCAF Part C alignment,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Admiral Group,2024-12-31,Insurance,Part C,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year trend reporting,Priority 2: Implement PCAF Part A methodology with quantified financed emissions
Ageas,2024-12-31,Insurance,Part A,Asset Class Coverage,1,5,20.0,"6.5/18 coefficient coverage (36.1%) – listed equity (6/6) + partial sovereign debt (0.5/2); other asset classes excluded (insurer profile, justification provided)",—,—,V2 client-verified score
Ageas,2024-12-31,Insurance,Part A,Data Quality Score,3,5,60.0,"Average DQS ~2.12 for listed equities, ~2 for sovereign debt",—,—,V2 client-verified score
